date,account,ticker,shares,entry_price,exit_price,close_type,pnl_abs,pnl_pct
2026-01-13,INDIVIDUAL,WMT,33,112.60,117.97,TARGET,177.21,4.77
,,TOTAL,,,,,177.21,
