date,account,ticker,shares,entry_price,exit_price,close_type,pnl_abs,pnl_pct
2026-06-01,INDIVIDUAL,SNPS,20,496.00,475.27,STOP,-414.60,-4.18
2026-06-01,INDIVIDUAL,TSM,25,388.31,439.54,TARGET,1280.75,13.19
2026-06-01,INDIVIDUAL,ORCL,54,185.00,235.56,TARGET,2730.24,27.33
2026-06-01,INDIVIDUAL,AVGO,24,409.41,456.48,TARGET,1129.80,11.50
2026-06-01,INDIVIDUAL,V,30,333.25,322.84,STOP,-312.30,-3.12
2026-06-01,INDIVIDUAL,MCHP,109,91.10,90.63,STOP,-51.23,-0.52
2026-06-01,INDIVIDUAL,CAT,11,855.05,853.79,STOP,-13.81,-0.15
2026-06-01,INDIVIDUAL,MSFT,24,414.26,461.97,TARGET,1145.04,11.52
2026-06-01,INDIVIDUAL,KO,122,81.94,78.89,STOP,-372.71,-3.73
2026-06-01,INDIVIDUAL,MDB,31,318.76,384.48,TARGET,2037.17,20.62
2026-06-01,INDIVIDUAL,INTC,86,115.02,109.93,STOP,-437.74,-4.43
2026-06-01,INDIVIDUAL,SNOW,61,163.76,280.00,TARGET,7090.64,70.98
2026-06-01,INDIVIDUAL,GOOGL,26,384.38,376.40,STOP,-207.46,-2.08
2026-06-10,INDIVIDUAL,AAPL,33,298.23,288.50,STOP,-321.09,-3.26
2026-06-10,INDIVIDUAL,LLY,9,1011.86,1156.47,TARGET,1301.49,14.29
2026-06-10,INDIVIDUAL,CARR,159,62.85,70.96,TARGET,1288.70,12.90
2026-06-10,INDIVIDUAL,AMZN,38,262.61,240.76,STOP,-830.30,-8.32
2026-06-10,INDIVIDUAL,NVDA,46,215.71,205.74,STOP,-458.61,-4.62
2026-06-10,INDIVIDUAL,ON,84,118.21,113.54,STOP,-391.86,-3.95
2026-06-15,INDIVIDUAL,MS,52,191.49,218.31,TARGET,1394.64,14.01
2026-06-15,INDIVIDUAL,ORCL,47,209.46,193.38,STOP,-755.53,-7.67
2026-06-22,INDIVIDUAL,ELV,25,391.10,395.04,STOP,98.50,1.01
2026-06-22,INDIVIDUAL,CAT,11,853.72,1014.38,TARGET,1767.29,18.82
2026-06-22,INDIVIDUAL,GOOGL,26,376.40,347.38,STOP,-754.52,-7.71
2026-06-22,INDIVIDUAL,KO,126,78.87,79.39,STOP,66.15,0.67
2026-06-22,INDIVIDUAL,INTC,90,110.08,138.63,TARGET,2569.50,25.94
2026-06-22,INDIVIDUAL,TSM,23,422.07,470.11,TARGET,1104.92,11.38
2026-06-22,INDIVIDUAL,MU,10,933.00,1187.37,TARGET,2543.68,27.26
2026-06-22,INDIVIDUAL,MDB,28,355.32,315.74,STOP,-1108.24,-11.14
2026-06-22,INDIVIDUAL,NET,42,236.86,219.63,STOP,-723.66,-7.27
,,TOTAL,,,,,20394.85,
