lot_id,account,ticker,open_date,shares,assigned_strike,cost_basis,source_csp_id,has_open_cc,cc_id,status,cc_premium_collected,net_cost_basis
RKLB-2026-02-20-75.00,INDIVIDUAL,RKLB,2026-02-20,100,75.00,7157.50,RKLB-2026-02-20-75.00-2026-01-21,0,RKLB-2026-05-01-69.00-2026-04-13,CLOSED,909.10,6248.40
CELH-2026-02-20-50.00,INDIVIDUAL,CELH,2026-02-20,200,50.00,9717.00,CELH-2026-02-20-50.00-2026-01-26,1,CELH-2026-05-29-37.00-2026-05-08,OPEN,1195.00,8522.00
ASTS-2026-02-26-95.00,INDIVIDUAL,ASTS,2026-02-26,100,95.00,8175.00,ASTS-2026-03-06-95.00-2026-02-06,0,,CLOSED,0.00,8175.00
MCHP-2026-03-20-72.50,INDIVIDUAL,MCHP,2026-03-20,100,72.50,7007.50,MCHP-2026-03-20-72.50-2026-02-17,0,MCHP-2026-04-24-74.00-2026-04-08,CLOSED,0.00,7007.50
