date,account,ticker,event_type,amount,net,notes
2026-06-01,INDIVIDUAL,CELH,CC_OPEN,+195.90,,36.00C exp 2026-06-26 x2
2026-06-01,INDIVIDUAL,TJX,CC_OPEN,+163.35,,157.50C exp 2026-06-18
2026-06-15,INDIVIDUAL,INTC,CSP_OPEN,+177.50,,100.00P exp 2026-07-10
2026-06-22,INDIVIDUAL,INTC,CSP_CLOSE_TP,-92.00,85.50,TP buyback — net $86
2026-06-22,INDIVIDUAL,ON,CSP_OPEN,+230.50,,105.00P exp 2026-07-17
,,NET_PREMIUM,,+675.25,,
