date,account,ticker,event_type,amount,net,notes
2026-05-04,IRA,CVX,CSP_OPEN,+196.50,,180.00P exp 2026-05-29
2026-05-04,ROTH,XLE,CSP_OPEN,+172.50,,56.00P exp 2026-05-29 x3
2026-05-08,IRA,XLV,CSP_CLOSE_TP,-58.00,57.00,TP buyback — net $57
2026-05-12,IRA,INTC,CSP_OPEN,+211.00,,85.00P exp 2026-06-12 x2
2026-05-15,IRA,CVX,CSP_CLOSE_TP,-127.50,69.00,TP buyback — net $69
2026-05-15,ROTH,XLE,CSP_CLOSE_TP,-70.50,102.00,TP buyback — net $102
2026-05-15,ROTH,XOM,CSP_OPEN,+137.00,,145.00P exp 2026-06-12
,,NET_PREMIUM,,+461.00,,
