date,account,ticker,event_type,amount,net,notes
2026-01-21,INDIVIDUAL,PL,CSP_OPEN,+340.00,,22.00P exp 2026-02-20 x4
2026-01-21,INDIVIDUAL,RKLB,CSP_OPEN,+342.50,,75.00P exp 2026-02-20
2026-01-26,INDIVIDUAL,CELH,CSP_OPEN,+283.00,,50.00P exp 2026-02-20 x2
2026-01-26,INDIVIDUAL,F,CSP_OPEN,+252.00,,13.00P exp 2026-02-20 x7
,,NET_PREMIUM,,+1217.50,,
