date,account,ticker,event_type,amount,net,notes
2026-05-01,INDIVIDUAL,BAC,CSP_CLOSE_TP,-72.00,79.50,TP buyback — net $80
2026-05-01,INDIVIDUAL,C,CSP_CLOSE_TP,-111.00,57.50,TP buyback — net $58
2026-05-04,INDIVIDUAL,BAC,CSP_OPEN,+53.00,,50.00P exp 2026-05-29
2026-05-04,INDIVIDUAL,COP,CSP_OPEN,+244.50,,119.00P exp 2026-05-29
2026-05-04,INDIVIDUAL,XLE,CSP_CLOSE_TP,-38.00,23.00,TP buyback — net $23
2026-05-05,INDIVIDUAL,BAC,CSP_CLOSE_TP,-39.00,14.00,TP buyback — net $14
2026-05-08,INDIVIDUAL,CELH,CC_CLOSE_TP,-94.00,173.40,CC TP buyback — net $173
2026-05-08,INDIVIDUAL,CELH,CC_OPEN,+139.60,,37.00C exp 2026-05-29 x2
,,NET_PREMIUM,,+83.10,,
