date,account,ticker,event_type,amount,net,notes
2026-04-08,INDIVIDUAL,NVDA,CSP_OPEN,+296.50,,170.00P exp 2026-05-08
2026-04-09,INDIVIDUAL,CELH,CC_CLOSE_TP,-46.00,32.90,CC TP buyback — net $33
2026-04-09,INDIVIDUAL,CELH,CC_OPEN,+119.60,,40.00C exp 2026-05-01 x2
2026-04-10,INDIVIDUAL,NVDA,CSP_CLOSE_TP,-167.50,129.00,TP buyback — net $129
2026-04-10,INDIVIDUAL,NVDA,CSP_OPEN,+172.00,,170.00P exp 2026-05-08
2026-04-13,INDIVIDUAL,CELH,CC_CLOSE_TP,-62.00,57.60,CC TP buyback — net $58
2026-04-13,INDIVIDUAL,CELH,CC_OPEN,+244.00,,38.00C exp 2026-05-08 x2
2026-04-14,INDIVIDUAL,NVDA,CSP_CLOSE_TP,-98.00,74.00,TP buyback — net $74
2026-04-14,INDIVIDUAL,NVDA,CSP_OPEN,+209.50,,175.00P exp 2026-05-15
2026-04-15,INDIVIDUAL,NVDA,CSP_CLOSE_TP,-123.00,86.50,TP buyback — net $86
2026-04-15,INDIVIDUAL,TGT,CSP_OPEN,+171.00,,115.00P exp 2026-05-15
2026-04-17,INDIVIDUAL,TGT,CSP_CLOSE_TP,-96.50,74.50,TP buyback — net $74
2026-04-18,INDIVIDUAL,TJX,CSP_OPEN,+177.50,,155.00P exp 2026-05-15
2026-04-22,INDIVIDUAL,BAC,CSP_OPEN,+151.50,,50.00P exp 2026-05-22 x3
2026-04-23,INDIVIDUAL,XLE,CSP_OPEN,+67.00,,54.00P exp 2026-05-22
2026-04-27,INDIVIDUAL,C,CSP_OPEN,+168.50,,120.00P exp 2026-05-22
2026-04-28,INDIVIDUAL,INTC,CSP_OPEN,+64.50,,60.00P exp 2026-05-29
,,NET_PREMIUM,,+1248.60,,
